,name,community_status,lifetime_investment,city,st_abb,pop_change_10_11,pop_change_11_12,pop_change_12_13,pop_change_13_14,pop_change_14_15,pop_change_15_16,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,residentcount,edu_event,dist_event,home_assess,comm_prep,mitigation,other
28,Apple Mountain Lake-South,In Good Standing,41514.0,Linden,VA,0.00413168066106891,0.00865410140695514,0.0167122855037372,0.0122699386503067,0.00107403145377829,0.000204357932919509,0.0,0.0,0.0,8000.0,4900.0,1000.0,3000.0,4500.0,2520.0,970.0,4900.0,4176.0,5048.0,2500.0,0.0,120.0,3.0,3.0,0.0,2.0,3.0,0.0
29,Appleton,In Good Standing,125579.27,Hector,AR,0.0086298502656577,-0.000239440666602816,-0.00148488767543229,0.00889059451853273,0.00630804830887248,0.00452025452025452,0.0,0.0,0.0,2660.0,3979.0,5853.0,6480.0,5478.29,16388.0,57021.0,15983.58,5401.1,1986.3,4349.0,0.0,900.0,3.0,2.0,0.0,0.0,2.0,1.0
30,Arapaho,Inactive,9750.0,Arapaho,OK,0.0084394325209167,0.0284611499891783,0.0276033811511346,0.00764557307666052,0.00311632003251812,-0.0108394678192747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,2250.0,0.0,0.0,0.0,0.0,796.0,0.0,1.0,0.0,1.0,0.0,0.0
31,Aravaipa Canyon West,In Good Standing,57449.64,Winkelman,AZ,-0.00367158671586716,0.0112484689436968,0.00711297837330187,0.0286925486651185,0.0257459143890269,0.0303283934813648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,174.0,31656.84,25444.8,30.0,2.0,3.0,1.0,1.0,4.0,0.0
32,Argyle,In Good Standing,21548.0,Argyle,GA,-0.00472046024487388,-0.00222321031569586,0.00980392156862745,0.0038246543100912,0.0089390386869871,-0.00813362381989833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14400.0,1000.0,1234.0,1234.0,1840.0,1840.0,0.0,220.0,1.0,3.0,1.0,1.0,0.0,0.0
33,Argyle Canyon,In Good Standing,41424.83,Duchesne,UT,0.00614224137931034,0.0176180786119739,0.0529916329000684,0.0124937531234383,0.025715695952616,-0.0213656705644579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23637.0,1636.01,16151.82,0.0,125.0,1.0,0.0,1.0,0.0,1.0,0.0
34,Arrowhead Improvement Association,In Good Standing,27553.0,Powderhorn,CO,0.00657680536563131,-0.00213481692327597,0.0141329011345219,0.0119542287285048,0.0193935565382186,0.0167937039102683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11813.0,15740.0,0.0,800.0,1.0,2.0,0.0,0.0,0.0,0.0
35,Arrowwood III HOA,In Good Standing,8305.0,Monument,CO,0.0158720791131669,0.013722697876122,0.0144848298047986,0.0116856210677061,0.0175704409738518,0.0207536816503285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8305.0,0.0,300.0,0.0,2.0,0.0,0.0,0.0,0.0
36,Ash Creek,Inactive,2125.0,Riddle,OR,-0.00351115115598614,-0.00156601012313687,-0.00287552165510545,0.00163853075288147,0.00511320084503356,0.0086677516856545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0
37,Asheland Cove,In Good Standing,12977.96,Young Harris,GA,-0.00398444170382317,0.000476235831983998,0.0229436405178979,0.0307119590507213,0.00794582392776524,0.0204246170384305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.0,2744.96,2844.0,3500.0,0.0,52.0,1.0,0.0,0.0,5.0,0.0,0.0
38,Aspen Hill Farms Section II,Inactive,11134.0,Front Royal,VA,0.00413168066106891,0.00865410140695514,0.0167122855037372,0.0122699386503067,0.00107403145377829,0.000204357932919509,0.0,0.0,0.0,0.0,300.0,4800.0,1200.0,3000.0,834.0,1000.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0,0.0,1.0,0.0,0.0
39,Aspen Hills,In Good Standing,33963.78,Woodland Park,CO,-0.00503262677528042,0.0018860645548459,-0.00560475762632097,0.00572239910506841,-0.00196791443850267,0.0306056839127266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3695.0,17767.78,12301.0,200.0,0.0,87.0,1.0,0.0,0.0,2.0,0.0,1.0
40,Aspen Hills Subdivision,In Good Standing,40848.11,Mount Pleasant,UT,0.00469837170934653,-0.000571163388426802,0.00664356895381648,0.00652875847141894,0.0152994676913315,0.0211103781118711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17420.34,23427.77,0.0,550.0,0.0,0.0,0.0,1.0,1.0,0.0
41,Aspen Lakes,Inactive,4466.8,Sisters,OR,0.012265663112412,0.0124550148646534,0.0253083176212407,0.026130629028271,0.0279036153073276,0.0363834870985812,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,1089.0,585.0,942.8,850.0,0.0,0.0,115.0,1.0,1.0,0.0,1.0,0.0,0.0
42,Aspen Valley Ranch,In Good Standing,216779.56,Woodland Park,CO,-0.00503262677528042,0.0018860645548459,-0.00560475762632097,0.00572239910506841,-0.00196791443850267,0.0306056839127266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153572.0,11000.0,11500.0,21247.0,19460.56,0.0,12.0,1.0,1.0,0.0,3.0,1.0,0.0
43,Aspens at Fish Lake HOA,In Good Standing,22660.16,Loa,UT,-0.00397830018083183,-0.0108932461873638,0.00146842878120411,-0.00219941348973607,-0.00698016164584864,-0.000369959304476508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22660.16,0.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0
44,Atlanta,In Good Standing,464.12,Emerson,AR,-0.00206085586131652,-0.0108114674441205,-0.005526218838266,-0.00889108421832551,0.00257496469806462,-0.00990057995028997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.12,0.0,105.0,0.0,0.0,1.0,0.0,0.0,0.0
45,Atlas Peak,In Good Standing,109313.0,Wilton,CA,0.00913068610945853,0.00852542365794612,0.00883546290998842,0.0124066538677815,0.0125204903199095,0.0119039664743252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49218.0,36595.0,11000.0,12500.0,0.0,440.0,0.0,3.0,0.0,1.0,0.0,0.0
46,Auburn Lake Trails,In Good Standing,2032277.04,Cool,CA,-0.00160085673436267,-0.00168635928852225,0.00481285791823126,0.00884102145766617,0.0072556015101267,0.00686703659707419,0.0,0.0,155579.0,113920.0,132000.0,135213.0,90127.0,212706.0,210898.0,163319.0,294792.0,155781.0,183803.04,184139.0,0.0,3012.0,0.0,9.0,1.0,2.0,1.0,0.0
47,Ausable River Estates,In Good Standing,173734.84,Saint Helen,MI,-0.00637541378887572,-0.00748570723481265,-0.00812233226969458,-0.000125339461040318,-0.00539027243857597,-0.00432718564886779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,596.0,6408.0,41773.0,10627.0,103298.46,10282.38,0.0,24.0,4.0,5.0,2.0,0.0,0.0,0.0
48,Autumn Ridge at the Creek,In Good Standing,253.77,Hiawassee,GA,-0.00398444170382317,0.000476235831983998,0.0229436405178979,0.0307119590507213,0.00794582392776524,0.0204246170384305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.77,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0
49,Avalon,In Good Standing,30949.94,Myrtle Beach,SC,0.0181392064882688,0.0230406715415393,0.0267521258322332,0.0327849020082265,0.0370688933884436,0.0402457796954216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6641.0,6640.47,6640.47,5406.0,5622.0,0.0,738.0,1.0,2.0,0.0,2.0,0.0,0.0
50,Avery,Inactive,500.0,Avery,ID,-0.0047843137254902,0.00394042083694539,-0.00251197111233221,-0.0238451247343984,0.00411157691067398,-0.000240867121637896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0
51,Avimor,In Good Standing,255667.0,Boise,ID,0.0194036337020913,0.0193982818023624,0.0177990163830188,0.0246121241683226,0.0165259603208105,0.0243640230974907,0.0,0.0,0.0,0.0,115000.0,65000.0,55000.0,500.0,5767.0,1200.0,3500.0,1200.0,2500.0,6000.0,0.0,715.0,5.0,5.0,0.0,3.0,1.0,2.0
52,Avoca,In Good Standing,48986.87,Rogers,AR,0.0279557524509584,0.023843033725545,0.0193602370188223,0.0218319945723643,0.0281157911562312,0.0296590406257101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35086.76,0.0,0.0,5172.0,3648.81,2841.3,2238.0,0.0,460.0,1.0,3.0,0.0,2.0,0.0,0.0
